AB	R	HR	RBI	BB	K	SB	AVG	OBP	SLG	OPS

599	108	36	111	63	113	29	.319	.389	.576	.965	

615	112	22	69	60	149	46	.285	.351	.472	.823	

595	116	39	127	86	93	3	.336	.419	.607	1.026	

627	106	33	109	54	91	6	.313	.373	.555	.928	

599	101	27	91	81	126	24	.299	.384	.509	.894	

559	98	33	103	60	147	17	.297	.367	.540	.907	

614	102	34	115	64	68	10	.300	.367	.533	.900	

534	95	26	94	53	117	22	.301	.366	.522	.888	

553	95	28	98	117	123	9	.320	.441	.561	1.001	

576	97	35	116	100	99	1	.313	.423	.556	.979	

544	92	30	102	58	79	9	.301	.371	.540	.911	

583	100	28	84	67	135	20	.281	.362	.492	.854	

564	90	42	103	64	183	8	.278	.357	.574	.932	

550	76	24	98	67	94	2	.318	.392	.520	.912	

593	93	27	100	82	129	17	.287	.373	.494	.867	
AB	R	HR	RBI	BB	K	SB	AVG	OBP	SLG	OPS

599	108	36	111	63	113	29	.319	.389	.576	.965	

615	112	22	69	60	149	46	.285	.351	.472	.823	

595	116	39	127	86	93	3	.336	.419	.607	1.026	

627	106	33	109	54	91	6	.313	.373	.555	.928	

599	101	27	91	81	126	24	.299	.384	.509	.894	

559	98	33	103	60	147	17	.297	.367	.540	.907	

614	102	34	115	64	68	10	.300	.367	.533	.900	

534	95	26	94	53	117	22	.301	.366	.522	.888	

553	95	28	98	117	123	9	.320	.441	.561	1.001	

576	97	35	116	100	99	1	.313	.423	.556	.979	

544	92	30	102	58	79	9	.301	.371	.540	.911	

583	100	28	84	67	135	20	.281	.362	.492	.854	

564	90	42	103	64	183	8	.278	.357	.574	.932	

550	76	24	98	67	94	2	.318	.392	.520	.912	

593	93	27	100	82	129	17	.287	.373	.494	.867	
AB	R	HR	RBI	BB	K	SB	AVG	OBP	SLG	OPS

599	108	36	111	63	113	29	.319	.389	.576	.965	

615	112	22	69	60	149	46	.285	.351	.472	.823	

595	116	39	127	86	93	3	.336	.419	.607	1.026	

627	106	33	109	54	91	6	.313	.373	.555	.928	

599	101	27	91	81	126	24	.299	.384	.509	.894	

559	98	33	103	60	147	17	.297	.367	.540	.907	

614	102	34	115	64	68	10	.300	.367	.533	.900	

534	95	26	94	53	117	22	.301	.366	.522	.888	

553	95	28	98	117	123	9	.320	.441	.561	1.001	

576	97	35	116	100	99	1	.313	.423	.556	.979	

544	92	30	102	58	79	9	.301	.371	.540	.911	

583	100	28	84	67	135	20	.281	.362	.492	.854	

564	90	42	103	64	183	8	.278	.357	.574	.932	

550	76	24	98	67	94	2	.318	.392	.520	.912	

593	93	27	100	82	129	17	.287	.373	.494	.867	
AB	R	HR	RBI	BB	K	SB	AVG	OBP	SLG	OPS

599	108	36	111	63	113	29	.319	.389	.576	.965	

615	112	22	69	60	149	46	.285	.351	.472	.823	

595	116	39	127	86	93	3	.336	.419	.607	1.026	

627	106	33	109	54	91	6	.313	.373	.555	.928	

599	101	27	91	81	126	24	.299	.384	.509	.894	

559	98	33	103	60	147	17	.297	.367	.540	.907	

614	102	34	115	64	68	10	.300	.367	.533	.900	

534	95	26	94	53	117	22	.301	.366	.522	.888	

553	95	28	98	117	123	9	.320	.441	.561	1.001	

576	97	35	116	100	99	1	.313	.423	.556	.979	

544	92	30	102	58	79	9	.301	.371	.540	.911	

583	100	28	84	67	135	20	.281	.362	.492	.854	

564	90	42	103	64	183	8	.278	.357	.574	.932	

550	76	24	98	67	94	2	.318	.392	.520	.912	

593	93	27	100	82	129	17	.287	.373	.494	.867	
